title,company,url
[주식회사 로비고스] Backend PM & DevOps 엔지니어 경력 채용,㈜로비고스,https://www.jobkorea.co.kr/Recruit/GI_Read/48209069?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=69&sc=630
데이터 분석 (Data Scientist) 채용,㈜에이브랩스,https://www.jobkorea.co.kr/Recruit/GI_Read/48282538?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=70&sc=630
AI 서비스 플랫폼 백앤드 개발자,㈜지산소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/48440660?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=71&sc=630
백엔드 개발자 채용,키키코드㈜(KeykyCode,https://www.jobkorea.co.kr/Recruit/GI_Read/48488927?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=72&sc=630
AI Agent Engineer (전문연구요원 가능),㈜히츠,https://www.jobkorea.co.kr/Recruit/GI_Read/48454208?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=73&sc=630
"생성형AI(LLM, RAG) R&D(석사이상)",㈜비전스페이스,https://www.jobkorea.co.kr/Recruit/GI_Read/48436528?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=74&sc=630
DevOps 엔지니어 (FDE) 모집 공고,인포그랩 유한회사,https://www.jobkorea.co.kr/Recruit/GI_Read/48452312?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=75&sc=630
"마케팅, 기획 및 BM 설계 채용 공고",플로트㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48404828?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=76&sc=630
연구행정 담당자 채용(경력 3년 이상),코드비전㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48360301?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=77&sc=630
DE Language DATA Reviewer / 유사 경력 종사자 (독일어필수),㈜다이얼로그디자인에이전시,https://www.jobkorea.co.kr/Recruit/GI_Read/48456191?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=78&sc=630
