,채용제목,회사,근무지,경력,학력,고용형태,상세url,상세게시글id,주요업무,자격요건,우대사항,채용절차,복지 및 혜택,급여,스킬,업종
344,각 분야별 경력직 채용 - Whole Body 제어 및 동역학 엔지니어,원익로보틱스,,경력,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48496936?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=326&sc=630,48496936,"ㆍ SCM 솔루션 In/Out Data 설계, 솔루션 I/F 설계, BOM 및 Capa 관련 데이터 모델 개발 등을 수행합니다. ㆍ 화면/ 데이터/ 배치 기능 등 업무 영역별 기능을 설계 및 개발/운영 업무를 수행합니다. ㆍ 프로세스/ 운영기준/ 요구기능 등 설계 내역을 솔루션에 반영합니다. (SCM 모델링, 솔루션 기능 및 In/Out Bound 데이터 정의) ㆍ Forecast 자동화 단계/ 인자 등 설계 내역을 기반으로 솔루션에 반영합니다. (개별 최적 방안 정의, ML/ 학습 모델 설계, 모델 구현/ 최적화) ㆍ 공급망 관리 시나리오 항목/ 절차 등 설계 내역을 기반으로 솔루션에 반영합니다. (What-If 방식 정의, 목적식/ Factor 조정) 필요역량 및 경험 ㆍ SCM 시스템 개발/운영 및 솔루션 I/F와 관련 UI/UX 개발 경험을 보유하신 분 ㆍ 국내/외 SCM 솔루션 경험을 보유하신 분 ㆍ 제조/생산 시스템 개발 경험을 보유하신 분 ㆍ AI/ML 및 Simulation 시스템을 경험하신 분","SCM 개발/운영 및 솔루션 전문가 담당업무 ㆍ SCM 솔루션 In/Out Data 설계, 솔루션 I/F 설계, BOM 및 Capa 관련 데이터 모델 개발 등을 수행합니다. ㆍ 화면/ 데이터/ 배치 기능 등 업무 영역별 기능을 설계 및 개발/운영 업무를 수행합니다. ㆍ 프로세스/ 운영기준/ 요구기능 등 설계 내역을 솔루션에 반영합니다. (SCM 모델링, 솔루션 기능 및 In/Out Bound 데이터 정의) ㆍ Forecast 자동화 단계/ 인자 등 설계 내역을 기반으로 솔루션에 반영합니다. (개별 최적 방안 정의, ML/ 학습 모델 설계, 모델 구현/ 최적화) ㆍ 공급망 관리 시나리오 항목/ 절차 등 설계 내역을 기반으로 솔루션에 반영합니다. (What-If 방식 정의, 목적식/ Factor 조정) 필요역량 및 경험 ㆍ SCM 시스템 개발/운영 및 솔루션 I/F와 관련 UI/UX 개발 경험을 보유하신 분 ㆍ 국내/외 SCM 솔루션 경험을 보유하신 분 ㆍ 제조/생산 시스템 개발 경험을 보유하신 분 ㆍ AI/ML 및 Simulation 시스템을 경험하신 분","ㆍ 산업공학/물류 관련 전공 및 CPIM 등 SCM/물류 관련 자격증 소지하신 분 ㆍ AI/ML 기반 분석 모델링, Simulation, 대용량 데이터 I/F를 경험하신 분 ㆍ 외국어 능력으로 글로벌 커뮤니케이션에 능하신 분 성향 및 캐릭터 ㆍ 새로운 기술에 대한 호기심과 빠른 습득력으로 문제 해결 능력이 뛰어나신 분 ㆍ 원활한 소통과 열정적인 태도로 고객 및 동료들과 시너지를 만들어 내실 분",,,회사 내규에 따름,,솔루션·SI·CRM·ERP
345,경력사원 채용 - 글로벌 일반보험 U/W 기획,삼성화재해상보험,,경력,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48497073?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=332&sc=630,48497073,"ㆍ SK Hynix 제조 공정에서 발생하는 데이터를 통합 관리하는 지식기반 데이터 플랫폼 개발업무를 수행 합니다 ㆍ 지식기반 데이터 플랫폼은 데이터 메쉬(Data Mesh) , Onotlogy 및 AI (LLM) 등을 활용한 대 고객 서비스를 개발, 배포하는 역할을 수행 합니다. 필요역량 및 경험 ㆍ 핵심기술 - 온톨로지 모델링 및 관리 - 지식 그래프 구축 및 저장 - 엔티티 추출, 관계 추출, 데이터 통합 및 추론 - 데이터 파이프라인 및 오케스트레이션 - Lanhchain, LangGraph 등 & AI 서비스 - API 기반 데이터 서비스 ㆍ 역량/경험 - 데이터 메쉬(Data Mesh) 아키텍처 - 클라우드 데이터 플랫폼","제조 Ontology 전문가 담당업무 ㆍ SK Hynix 제조 공정에서 발생하는 데이터를 통합 관리하는 지식기반 데이터 플랫폼 개발업무를 수행 합니다 ㆍ 지식기반 데이터 플랫폼은 데이터 메쉬(Data Mesh) , Onotlogy 및 AI (LLM) 등을 활용한 대 고객 서비스를 개발, 배포하는 역할을 수행 합니다. 필요역량 및 경험 ㆍ 핵심기술 - 온톨로지 모델링 및 관리 - 지식 그래프 구축 및 저장 - 엔티티 추출, 관계 추출, 데이터 통합 및 추론 - 데이터 파이프라인 및 오케스트레이션 - Lanhchain, LangGraph 등 & AI 서비스 - API 기반 데이터 서비스 ㆍ 역량/경험 - 데이터 메쉬(Data Mesh) 아키텍처 - 클라우드 데이터 플랫폼",ㆍ Apache Project 등 오픈소스를 통해 실시간 데이터 서비스 개발 및 적용 경험이 있으신 분 ㆍ 데이터 카탈로그 및 메타데이터 관리 시스템과 연계 개발 및 적용을 해 보신 분 ㆍ 외국어 능력으로 글로벌 커뮤니케이션에 능하신 분 성향 및 캐릭터 ㆍ 변화에 대한 열린 마음을 갖고 있으면서도 논리적이고 세밀함과 꼼꼼함을 갖으신 분,,,회사 내규에 따름,,솔루션·SI·CRM·ERP
346,경력사원 채용 - 장기보험 계리,삼성화재해상보험,경기 성남시 분당구 판교로255번길 20,:,:,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48420605?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=328&sc=630,48420605,ㆍEmbedded 기반 제어 알고리즘 개발 - 양팔 로봇(상체) 소프트웨어 개발 및 제어 - 하체(AMR) 주행 제어 알고리즘 개발 - 고급제어(임피던스/어드미턴스 제어 등) 알고리즘 설계 및 구현 ㆍWhole-Body Control(WBC) 알고리즘 설계 및 구현 - 상체 팔 동작과 하체 주행의 동역학 균형 제어 - 비전 등을 활용한 AI 솔루션 개발 및 적용 - 메커니즘/센서/전장 팀과의 통합 제어 협업 ㆍ시뮬레이터 구현 - 시뮬레이터/실제 로봇 사이의 인터페이스 구축 - 시뮬레이션 기반 검증 및 테스트 기반 구축 경험 지원,"Whole Body 제어 및 동역학 엔지니어 담당업무 ㆍEmbedded 기반 제어 알고리즘 개발 - 양팔 로봇(상체) 소프트웨어 개발 및 제어 - 하체(AMR) 주행 제어 알고리즘 개발 - 고급제어(임피던스/어드미턴스 제어 등) 알고리즘 설계 및 구현 ㆍWhole-Body Control(WBC) 알고리즘 설계 및 구현 - 상체 팔 동작과 하체 주행의 동역학 균형 제어 - 비전 등을 활용한 AI 솔루션 개발 및 적용 - 메커니즘/센서/전장 팀과의 통합 제어 협업 ㆍ시뮬레이터 구현 - 시뮬레이터/실제 로봇 사이의 인터페이스 구축 - 시뮬레이션 기반 검증 및 테스트 기반 구축 경험 지원자격 ㆍ학력 : 석사 이상 ㆍ경력 : 5년 이상 ㆍ필수기술 - 언어 : C/C++, Python 등 - 미들웨어 : ROS/ROS2 - 시뮬레이션 : Isaac Sim 등","ㆍ모바일 매니퓰레이터 또는 휴머노이드 제어 경험 ㆍZMP, CoM, Whole-body dynamics 제어 경험 ㆍ물리 시뮬레이터(Gazebo, MuJoCo 등) 활용 경험 ㆍROS/ROS2 기반 제어 시스템 경험 ㆍ다관절 로봇(산업용/협동 로봇)을 활용한 시스템 통합 프로젝트 경험 ㆍ실시간 제어(RTOS) 환경 경험",,,회사 내규에 따름,,솔루션·SI·CRM·ERP
347,각 분야별 경력직 채용 - 로봇핸드 기구설계,원익로보틱스,,:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48408457?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=340&sc=630,48408457,,"회로 연구 / 설계 ( ○명 ) 이런 일을 하게 될 거예요 ㆍ 임베디드 회로 설계 및 개발 (Arm 코어 기반 임베디드 회로 설계) ㆍ 공유자전거용 IoT 디바이스 설계 및 개발 ㆍ 지하철, 시외/고속버스 승차권 발매 키오스크 개발 ㆍ 버스, 택시등 교통 요금 결제 단말기 회로 설계 및 개발 ㆍ IC 카드, 스마트 카드 등 결제 디바이스 설계 및 개발 ㆍ 신분증 인식(OCR 등) 등을 위한 AI용 회로 설계 이런 분을 찾아요 ㆍ 임베디드 OS(Linux, Android, RTOS 등) 기반 시스템 설계 및 구동 환경 구성 경험이 있으신 분 ㆍ CPU·MCU 보드 회로 설계 및 디버깅 실무 경험이 있으신 분 ㆍ 프로젝트 일정·리소스 관리 및 외주/협력사 대응 경험이 있으신 분 ㆍ 제품 양산 단계(시험·인증·개선)까지의 전체 개발 프로세스 참여 경험이 있으신 분 ㆍ학력 : 대졸이상 ㆍ경력 : 10년↑ 이런 분이라면 더 좋아요 ㆍ 교통카드 단말기, 키오스크 등 관련 제품 개발 경험이 있으신 분 ㆍ RF리더기 / 보안모듈(EMV 등) 결제 규격에 대한 이해도가 있으신 분 ※","기본우대 인근거주자, 관련 자격증 보유자 우대전공 정보통신공학과, 컴퓨터공학과, 응용소프트웨어공학과",,"연금·보험 상해보험 편의·여가·건강 사내 동호회, 건강검진, 근무복 지원, 휴양시설 사내제도·성장 신입 사원 교육, 직무능력향상교육, 리더쉽강화교육, 사이버연수원운영 복리후생 더보기 관련 태그 2025 좋은 일자리 취업박람회 잡아바 추천 TOP",회사 내규에 따름 (면접 후 결정),"Android, Linux, 임베디드리눅스, RTOS",기타 무선 통신장비 제조업
348,제조 Ontology 전문가 영입,SK㈜ AX,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48494938?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=329&sc=630,48494938,ㆍ글로벌 일반보험 언더라이팅 전략 수립 ㆍRisk Appetite 기반의 글로벌 언더라이팅 가이드라인 설정 등 심사 거버넌스 체계 구축 ㆍ해외 포트폴리오 실적 모니터링 및 수익성 분석 지원,글로벌 일반보험 U/W 기획 수행업무 ㆍ글로벌 일반보험 언더라이팅 전략 수립 ㆍRisk Appetite 기반의 글로벌 언더라이팅 가이드라인 설정 등 심사 거버넌스 체계 구축 ㆍ해외 포트폴리오 실적 모니터링 및 수익성 분석 지원자격 ㆍ4년 이상 유관경력 보유하신 분,"ㆍCPCU, 보험계리사 등 관련 자격 보유하신 분 ㆍ상급 영어 회화 능력 보유하신 분 ㆍ일반보험 언더라이팅 업무 경험 보유하신 분 ㆍ글로벌 보험사/재보험사/중개사 등에서 관련 업무 경험 보유하신 분",,,회사 내규에 따름,,손해 보험업
349,[1년 계약직] 검사장비 셋업 엔지니어,디아이티㈜,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48494907?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=330&sc=630,48494907,"ㆍ전사 계리적 가정 수립, 책임준비금 결산 및 지급여력비율(보험 관련) 검증 ㆍ계리 시스템 기반, 책임준비금 현금흐름 검증 및 대내외 요인 환경에 따른 재무영향 분석 ㆍPython, R 등을 활용한 통계 검증 및 분석 Tool 구현 지원","장기보험 계리 수행업무 ㆍ전사 계리적 가정 수립, 책임준비금 결산 및 지급여력비율(보험 관련) 검증 ㆍ계리 시스템 기반, 책임준비금 현금흐름 검증 및 대내외 요인 환경에 따른 재무영향 분석 ㆍPython, R 등을 활용한 통계 검증 및 분석 Tool 구현 지원자격 ㆍ4년 이상 유관경력 보유하신 분",ㆍ보험계리사 등 관련 자격 보유하신 분,,,회사 내규에 따름,,손해 보험업
350,"Foundation Model ML Engineer(이미지, 비디오 생성) (경력)","네이버클라우드㈜
네이버그룹",서울 용산구 한강대로96길 27  띵스파이어,5년,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48319860?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=321&sc=630,48319860,"１. AI 전환 분석, 기획 및 전략 수립 ㆍ SCM 프로세스 AI 적용 로드맵 수립 ㆍ AI 적용 과제 발굴 및 타당성 분석 ㆍ ROI 및 KPI 기반 효과 분석 2. AI 시스템 구축 설계 ㆍ SCM 데이터 구조 분석 및 AI 모델 설계 ㆍ 예측·최적화·시뮬레이션 등 AI 알고리즘 설계 및 기획 ㆍ SCM 시스템(MES, ERP, APS 등)과 AI 플랫폼 연동 설계 ㆍ AI 적용 컨설팅 및 실행 지원 ㆍ 현업 부서와 협업하여 AI 기반 프로세스 개선 추진 ㆍ 운영 단계의 AI 적용 방안 및 고도화 전략 수립 ㆍ 기획서, 설계서, 보고서 등 프로젝트 산출물 작성","? 제조업 SCM 프로세스(수요예측, 생산계획, 물류·재고 관리 등) 이해 ? AI/데이터 기반 문제 해결 및 설계 프로젝트 수행 경험 ? 기획서, 제안서, 보고서 작성 및 프레젠테이션 역량","ㆍ제조/반도체 SCM AI 프로젝트 경험자 ㆍ Python, SQL, TensorFlow, PyTorch 등 활용 가능자 ㆍ 클라우드 기반 MLOps(GCP, Azure, AWS 등) 환경 경험 ㆍ 컨설팅사 또는 대",ㆍ서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격 ㆍ면접일정은 추후 통보됩니다.,"연금·보험 국민연금 , 고용보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 육아휴직, 노동절 휴무, 워크샵/MT 편의·여가·건강 건강검진 복리후생 더보기 관련 태그 우수벤처",회사 내규에 따름 (면접 후 결정),"Python, SQL, TensorFlow",솔루션·SI·CRM·ERP
351,각 분야별 경력직 채용 - 상체 매커니즘 설계,원익로보틱스,경기 과천시 과천대로2길 54,인재,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48411727?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=324&sc=630,48411727,"ㆍ AWS IoT Core 연동 Device 로직 개발 ㆍ 가전영역의 RTOS/non-OS 기반 Embedded loT/보안 어플리케이션 설계/개발 ㆍ 가전영역 IoT/보안 Embedded Software 개발 ㆍ Matter 등 국제 규격 IoT Software Search 및 개발 ㆍ Wifi 무선 기기 통신 프로토콜(보안적용) 설계/개발 ㆍ OTA Embedded Firmware 설계/개발 ㆍ AWS IoT Core 연동 및 AWS SageMaker를 이용한 ML 학습, Lambda를 이용한 model 업데이트 설계/개발 지원","Embedded IoT/보안 Software 개발 담당업무 ㆍ AWS IoT Core 연동 Device 로직 개발 ㆍ 가전영역의 RTOS/non-OS 기반 Embedded loT/보안 어플리케이션 설계/개발 ㆍ 가전영역 IoT/보안 Embedded Software 개발 ㆍ Matter 등 국제 규격 IoT Software Search 및 개발 ㆍ Wifi 무선 기기 통신 프로토콜(보안적용) 설계/개발 ㆍ OTA Embedded Firmware 설계/개발 ㆍ AWS IoT Core 연동 및 AWS SageMaker를 이용한 ML 학습, Lambda를 이용한 model 업데이트 설계/개발 지원자격 ㆍ학사 학위 이상/경력 4년 이상","ㆍ우대전공 : 전자공학/통신공학/컴퓨터공학 관련 전공 ㆍ우대경험 - Embedded SW Architecture 개발, Embedded IoT/보안 어플리케이션 설계 - Wifi 무선 기기 통신 프로토콜(보안적용) 설계/개발 - Matter 등 국제 규격 IoT 통신 적용 개발 - OTA Embedded Firmware 설계/개발, AWS 등 서버통신/Wifi, 무선통신 진행 기타사항 ㆍ",,,회사 내규에 따름,,가정용 비전기식 조리 및 난방 기구 제조업
353,경력사원 채용 - 헬스케어 마케팅,삼성화재해상보험,,신입·경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/48501708?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=338&sc=630,48501708,,어플리케이션 개발/유지 운영 전공 ㆍ업무 유관 전공,ㆍ비즈테크아이와 함께 성장하고자 하는 의지와 목표가 분명하신 분 ㆍ지원 분야에서 2년 이상 실무 역량을 갖추신 분,,,회사 내규에 따름,,컴퓨터시스템 통합 자문 및 구축 서비스업
354,상시 인재 채용 (인재 Pool) - 어플리케이션 개발/유지 운영,㈜비즈테크아이,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48495004?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=327&sc=630,48495004,ㆍ의료AI모델 학습을 위한 데이터 연동요건 정의 및 데이터 거버넌스 설계 ㆍ의료AI 솔루션 성능 모니터링 및 알고리즘 정교화 프로세스 수립 ㆍMLOps 인프라 및 데이터 파이프라인 구축 지원,의료AI 솔루션 기획 수행업무 ㆍ의료AI모델 학습을 위한 데이터 연동요건 정의 및 데이터 거버넌스 설계 ㆍ의료AI 솔루션 성능 모니터링 및 알고리즘 정교화 프로세스 수립 ㆍMLOps 인프라 및 데이터 파이프라인 구축 지원자격 ㆍ4년 이상 유관경력 보유하신 분,"ㆍAI/ML 모델 및 Python 기반 모델링(PyTorch, TensorFlow) 관련 업무 경험 보유하신 분 ㆍMLOps 인프라 설계 및 데이터 파이프라인 고도화 관련 업무 경험 보유하신 분",,,회사 내규에 따름,,손해 보험업
355,SW/FW/AI 포지션 경력 인재 상시 영입 - IoT 및 Connectivity SW 개발자,에스케이인텔릭스㈜,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48494993?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=337&sc=630,48494993,ㆍ헬스케어 마케팅 전략 수립 및 실행성과 분석 ㆍ병원·보험 ·,헬스케어 마케팅 수행업무 ㆍ헬스케어 마케팅 전략 수립 및 실행성과 분석 ㆍ병원·보험 ·,ㆍ마케팅 기획 또는 캠페인 운영 관련 업무 경험 보유하신 분 ㆍ헬스케어 프로젝트 관련 업무 경험 보유하신 분,,,회사 내규에 따름,,손해 보험업
356,[판교] 회로 연구 경력사원 채용,㈜에이텍모빌리티,경기 과천시 과천대로2길 54,인재,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48411657?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=322&sc=630,48411657,"ㆍ안드로이드 및 Linux 기반 임베디드 시스템 개발(ARM Cortex-A processor) ㆍ안드로이드 framework/ASOP 개발 ㆍBSP F ramework 개발 ㆍSoftware Architecture 설계 및 Board Bring up 개발 ㆍMulti-Core Processor 기반 (ARMv8) 성능, 발열 최적화 ㆍBootloader, TFM, OTA 개발 ㆍlinux kernel, devoce tree, device poring 개발 통합 및 유지 ㆍAOSP 빌드/개발 환경 구축 지원","Embedded 안드로이드 Framework ASOP 개발 담당업무 ㆍ안드로이드 및 Linux 기반 임베디드 시스템 개발(ARM Cortex-A processor) ㆍ안드로이드 framework/ASOP 개발 ㆍBSP F ramework 개발 ㆍSoftware Architecture 설계 및 Board Bring up 개발 ㆍMulti-Core Processor 기반 (ARMv8) 성능, 발열 최적화 ㆍBootloader, TFM, OTA 개발 ㆍlinux kernel, devoce tree, device poring 개발 통합 및 유지 ㆍAOSP 빌드/개발 환경 구축 지원자격 ㆍ학사 학위 이상/경력 4년 이상","ㆍ우대전공 : 전자공학/컴퓨터공학 관련 전공 ㆍ우대경험 - 안드로이드, Linux 기반 Embedded S/W Architecture 설계 및 Bring up 개발 - BSP 개발 및 F ramework , Bootloader, TFM OTA, 개발 경력 기타사항 ㆍ",,,회사 내규에 따름,,가정용 비전기식 조리 및 난방 기구 제조업
